City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
351,Shimoda,JP,34.6667,138.95,55.76,46,9,4.7,clear sky
352,Bam,IR,29.106,58.357,56.39,39,0,2.62,clear sky
353,Nuuk,GL,64.1835,-51.7216,36.21,100,90,3.44,light snow
354,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,63,75,17.27,broken clouds
355,Simao,CN,22.7886,100.9748,53.29,99,93,2.19,overcast clouds
356,Ucluelet,CA,48.9329,-125.5528,52.11,93,100,12.28,light rain
357,Itarema,BR,-2.9248,-39.9167,80.46,79,59,14.0,broken clouds
358,Sinnamary,GF,5.3833,-52.95,78.15,87,71,9.51,broken clouds
359,Port Hedland,AU,-20.3167,118.5667,96.85,13,13,26.46,few clouds
360,Clyde River,CA,70.4692,-68.5914,-9.08,99,93,6.13,overcast clouds
361,Penzance,GB,50.1186,-5.5371,40.21,60,99,28.27,overcast clouds
362,Pavlivka,UA,49.4414,28.4596,39.61,86,9,4.03,clear sky
363,Tres Arroyos,AR,-38.3739,-60.2798,57.83,97,100,10.18,overcast clouds
364,San Ramon,US,37.7799,-121.978,68.22,41,1,5.75,clear sky
365,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,29,0,8.05,clear sky
366,Lagdo,CM,9.05,13.7333,75.85,22,60,3.36,broken clouds
367,Praya,CV,14.9215,-23.5087,75.74,73,40,18.41,scattered clouds
368,Green River,US,41.5286,-109.4662,41.4,62,91,6.78,overcast clouds
369,Najran,SA,17.4924,44.1277,59.65,48,0,1.59,clear sky
370,Huilong,CN,31.8111,121.655,57.79,64,54,10.42,broken clouds
371,Lipin Bor,RU,60.2622,37.9763,26.28,95,100,14.61,snow
372,Gualaquiza,EC,-3.4,-78.55,64.51,98,61,1.63,light rain
373,Buraydah,SA,26.326,43.975,57.65,45,0,7.63,clear sky
374,Ust-Maya,RU,60.4167,134.5333,4.96,90,98,8.03,overcast clouds
375,Nurmijarvi,FI,60.4641,24.8073,19.29,86,75,11.5,broken clouds
376,Pafos,CY,34.7667,32.4167,58.91,62,59,6.91,broken clouds
377,Canatlan,MX,24.5167,-104.7833,59.65,65,100,4.27,overcast clouds
378,Padang,ID,-0.9492,100.3543,78.85,75,99,1.74,overcast clouds
379,Klaksvik,FO,62.2266,-6.589,25.72,69,96,8.93,overcast clouds
380,Carballo,ES,43.213,-8.691,49.69,74,88,8.99,overcast clouds
381,Altamont,US,42.2068,-121.7372,57.04,58,40,4.61,scattered clouds
382,Riyadh,SA,24.6877,46.7219,60.94,37,1,6.98,clear sky
383,Keti Bandar,PK,24.1447,67.4497,73.49,71,10,4.5,clear sky
384,Awjilah,LY,29.1081,21.2869,70.57,38,25,3.67,scattered clouds
385,Gornopravdinsk,RU,60.05,69.9,25.34,92,96,10.8,overcast clouds
386,Teguise,ES,29.0605,-13.564,59.22,72,20,8.05,few clouds
387,Fare,PF,-16.7,-151.0167,81.01,72,9,14.58,light rain
388,San Vicente,AR,-26.6167,-54.1333,64.62,83,0,2.71,clear sky
389,Tazovskiy,RU,67.4667,78.7,0.81,97,100,7.11,light snow
390,Wasilla,US,61.5814,-149.4394,2.35,81,1,0.0,clear sky
391,Verkhoyansk,RU,67.5447,133.385,-5.89,99,100,2.15,overcast clouds
392,Asau,RO,46.4333,26.4,34.72,80,6,3.71,clear sky
393,Methoni,GR,36.8197,21.7049,51.66,73,6,17.56,clear sky
394,Jumla,NP,29.2747,82.1838,37.29,40,0,4.18,clear sky
395,Parrita,CR,9.5201,-84.3225,83.97,90,42,3.51,scattered clouds
396,Shubarshi,KZ,48.5872,57.1869,24.51,77,100,7.94,overcast clouds
397,Hendek,TR,40.7994,30.7481,52.12,63,100,8.01,light rain
398,Macon,US,39.8667,-88.9668,42.66,75,1,9.22,clear sky
